org_id	latin_name	ncbi_id
TAX-1161	Nostocales	1161
TAX-1162	Nostocaceae	1162
TAX-1163	Anabaena	1163
TAX-1169107	Acutodesmus	1169107
TAX-1172	Anabaena variabilis	1172
TAX-117272	Amaranthus cruentus	117272
TAX-117568	mitosporic Pleosporaceae	117568
TAX-117570	Teleostomi	117570
TAX-117571	Euteleostomi	117571
TAX-1176516	Rosoideae incertae sedis	1176516
TAX-1177	Nostoc	1177
TAX-117743	Flavobacteriia	117743
TAX-117798	Aloe ferox	117798
TAX-1179	Desmonostoc muscorum	1179
TAX-118267	mitosporic Saccharomycetales	118267
TAX-1183400	Agrobacterium tumefaciens complex	1183400
TAX-1184124	Fragariinae	1184124
TAX-118509	Glebionis segetum	118509
TAX-118510	Tanacetum cinerariifolium	118510
TAX-118883	Sulfolobaceae	118883
TAX-118884	Gammaproteobacteria incertae sedis	118884
TAX-1189	Stigonematales	1189
TAX-119042	Hyphomicrobiales incertae sedis	119042
TAX-119045	Methylobacteriaceae	119045
TAX-119060	Burkholderiaceae	119060
TAX-119065	unclassified Burkholderiales	119065
TAX-119089	Chromadorea	119089
TAX-119174	Chiliadenus	119174
TAX-119219	Cupriavidus metallidurans	119219
TAX-119481	Pavlova pinguis	119481
TAX-119829	Astragalus mongholicus	119829
TAX-119856	Francisella tularensis	119856
TAX-1203512	Polypodiineae	1203512
TAX-1204416	core leptosporangiate ferns	1204416
TAX-1206794	Ecdysozoa	1206794
TAX-1206795	Lophotrochozoa	1206795
TAX-120793	Mycobacterium avium complex (MAC)	120793
TAX-121094	Perilla citriodora	121094
TAX-1214568	Diaporthe amygdali	1214568
TAX-122308	Plumbago indica	122308
TAX-1224	Pseudomonadota	1224
TAX-1232139	Pseudomonas oleovorans/pseudoalcaligenes group	1232139
TAX-123430	Maytenus	123430
TAX-1236	Gammaproteobacteria	1236
TAX-1239	Bacillota	1239
TAX-1243	Leuconostoc	1243
TAX-1245	Leuconostoc mesenteroides	1245
TAX-124768	Celosia cristata	124768
TAX-124993	Billia	124993
TAX-124994	Billia hippocastanum	124994
TAX-126	Planctomycetaceae	126
TAX-1263	Ruminococcus	1263
TAX-126331	mitosporic Magnaporthaceae	126331
TAX-1264	Ruminococcus albus	1264
TAX-1266	Sarcina	1266
TAX-1267	Sarcina ventriculi	1267
TAX-1268	Micrococcaceae	1268
TAX-1269	Micrococcus	1269
TAX-126908	Withania	126908
TAX-126910	Withania somnifera	126910
TAX-1270	Micrococcus luteus	1270
TAX-1275	Kocuria rosea	1275
TAX-1279	Staphylococcus	1279
TAX-127906	Vibrio cholerae O1	127906
TAX-127999	Tanacetum parthenium	127999
TAX-1280	Staphylococcus aureus	1280
TAX-128002	Tanacetum vulgare	128002
TAX-1280412	Conoidasida	1280412
TAX-128294	Cinchona pitayensis	128294
TAX-1286322	Leishmaniinae	1286322
TAX-128735	Rosa hybrid cultivar	128735
TAX-12914	Acidianus	12914
TAX-12916	Acidovorax	12916
TAX-12917	Acidovorax facilis	12917
TAX-1292256	Penicillium paxilli	1292256
TAX-1293361	Cenchrinae	1293361
TAX-1293362	Melinidinae	1293362
TAX-1293365	Panicinae	1293365
TAX-129337	Geobacillus	129337
TAX-129577	Oceanimonas	129577
TAX-12960	Azoarcus	12960
TAX-1297	Deinococcota	1297
TAX-1300	Streptococcaceae	1300
TAX-1301	Streptococcus	1301
TAX-1301283	Oscillatoriophycideae	1301283
TAX-1304	Streptococcus salivarius	1304
TAX-130426	Allium chinense	130426
TAX-1304792	Tenebrionidae incertae sedis	1304792
TAX-1305	Streptococcus sanguinis	1305
TAX-1307774	Atripliceae	1307774
TAX-1307775	Anserineae	1307775
TAX-1307780	Oxybasis	1307780
TAX-1307796	Chenopodioideae	1307796
TAX-1308	Streptococcus thermophilus	1308
TAX-1309	Streptococcus mutans	1309
TAX-131221	Streptophytina	131221
TAX-1313	Streptococcus pneumoniae	1313
TAX-131567	cellular organisms	131567
TAX-13215	Piper	13215
TAX-13216	Piper nigrum	13216
TAX-132459	Pueraria montana	132459
TAX-13273	Stellaria <eudicots>	13273
TAX-13274	Stellaria media	13274
TAX-1328	Streptococcus anginosus	1328
TAX-1328926	Fusarium lateritium species complex	1328926
TAX-1329799	Archelosauria	1329799
TAX-1334278	Euphorbia subgen. Esula	1334278
TAX-1334447	Euphorbia sect. Lagascae	1334447
TAX-13362	Borago	13362
TAX-13363	Borago officinalis	13363
TAX-1338369	Dipnotetrapodomorpha	1338369
TAX-1340414	Desmonostoc	1340414
TAX-1341	Streptococcus ratti	1341
TAX-13422	Chrysanthemum	13422
TAX-13426	Cichorium	13426
TAX-13427	Cichorium intybus	13427
TAX-13428	Cinnamomum	13428
TAX-13442	Coffea	13442
TAX-13443	Coffea arabica	13443
TAX-13444	Colchicum	13444
TAX-13446	Conium	13446
TAX-13447	Conium maculatum	13447
TAX-13448	Coreopsis	13448
TAX-13449	Coreopsis grandiflora	13449
TAX-1344963	Mucorineae	1344963
TAX-13464	Crepis	13464
TAX-13468	Cupressus	13468
TAX-13490	Dimorphotheca	13490
TAX-13492	Diospyros	13492
TAX-1350	Enterococcus	1350
TAX-1351	Enterococcus faecalis	1351
TAX-13511	Erythroxylum	13511
TAX-135197	Citrus junos	135197
TAX-135199	Schizonepeta	135199
TAX-135200	Schizonepeta tenuifolia	135200
TAX-135247	Ulva curvata	135247
TAX-13546	Gerbera	13546
TAX-135461	Bacillus subtilis	135461
TAX-135613	Chromatiales	135613
TAX-135614	Xanthomonadales	135614
TAX-135618	Methylococcales	135618
TAX-135619	Oceanospirillales	135619
TAX-135621	Pseudomonadaceae	135621
TAX-135622	Alteromonadales	135622
TAX-135623	Vibrionales	135623
TAX-135624	Aeromonadales	135624
TAX-135625	Pasteurellales	135625
TAX-13567	Hexamita	13567
TAX-1357	Lactococcus	1357
TAX-1358	Lactococcus lactis	1358
TAX-1359	Lactococcus cremoris	1359
TAX-136	Spirochaetales	136
TAX-136217	Curcuma longa	136217
TAX-136841	Pseudomonas aeruginosa group	136841
TAX-136842	Pseudomonas chlororaphis group	136842
TAX-136843	Pseudomonas fluorescens group	136843
TAX-136844	Halopseudomonas pertucinogena group	136844
TAX-136845	Pseudomonas putida group	136845
TAX-136846	Stutzerimonas stutzeri group	136846
TAX-136849	Pseudomonas syringae group	136849
TAX-137	Spirochaetaceae	137
TAX-13707	Tagetes	13707
TAX-13708	Tagetes erecta	13708
TAX-137221	Rheum palmatum	137221
TAX-13728	Thunbergia <eudicots>	13728
TAX-13749	Vaccinium	13749
TAX-13753	Vernonia <eudicots>	13753
TAX-137627	Myxogastromycetidae	137627
TAX-137893	Saussurea medusa	137893
TAX-13792	Mamiellales	13792
TAX-13817	Adiantum	13817
TAX-13818	Adiantum capillus-veneris	13818
TAX-13819	Pteridaceae	13819
TAX-13820	Pteris	13820
TAX-13821	Pteris vittata	13821
TAX-13823	Lygodium	13823
TAX-138328	Allium nutans	138328
TAX-1384459	Methyloceanibacter caenitepidi	1384459
TAX-1385	Bacillales	1385
TAX-138526	Neptunia	138526
TAX-1386	Bacillus <firmicutes>	1386
TAX-1392	Bacillus anthracis	1392
TAX-139271	Pinus subgen. Pinus	139271
TAX-139272	Pinus subgen. Strobus	139272
TAX-1396	Bacillus cereus	1396
TAX-1402	Bacillus licheniformis	1402
TAX-1404	Priestia megaterium	1404
TAX-140968	Hypericum androsaemum	140968
TAX-141190	Lawsonia <eudicots>	141190
TAX-141191	Lawsonia inermis	141191
TAX-141999	Carpobrotus	141999
TAX-1423	Bacillus subtilis	1423
TAX-142796	Eumycetozoa	142796
TAX-1437010	Boreoeutheria	1437010
TAX-1437180	Acrogymnospermae	1437180
TAX-1437183	Mesangiospermae	1437183
TAX-1437197	Petrosaviidae	1437197
TAX-1437201	Pentapetalae	1437201
TAX-1437259	Cupressophyta	1437259
TAX-1445964	Ginkgoidae	1445964
TAX-1445966	Gnetidae	1445966
TAX-1446379	Cupressales	1446379
TAX-1446380	Pinales	1446380
TAX-145260	Methanothermobacter	145260
TAX-145263	Methanothermobacter marburgensis	145263
