org_id	scientific_name	ncbi_taxon_id	in_proteins_dat	n_proteins	protein_ids	in_compounds_dat	n_compounds	compound_ids	n_genes	gene_ids	n_pathways_source	pathway_ids_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
TAX-3442	Coptis japonica	3442	yes	12	CPLX-5003; CPLX-5006; CPLX-5021; CPLX-5643; MONOMER-12943 (... 12 total)	no	0		8	CYP719; D29811; G-10588; G-58830; G-6405 (... 8 total)	7	PWY-3581; PWY-3901; PWY-5470; PWY-5876; PWY-7138 (... 7 total)	yes	yes	yes	no	11	18	0	11	resolved_name
TAX-397412	Coptis japonica	397412	yes	3	MONOMER-12444; MONOMER-13854; MONOMER-13859	no	0		2	G-10573; G-27160	3	PWY-3581; PWY-5287; PWY-7507	yes	yes	yes	no	11	18	0	11	resolved_name
TAX-13449	Coreopsis grandiflora	13449	yes	1	MONOMER-12120	no	0		0		2	PWY-1901; PWY-5161	yes	no	yes	no	0	2	0	2	resolved_name
TAX-4047	Coriandrum sativum	4047	yes	2	MONOMER-12587; MONOMER-12588	no	0		1	G-9661	1	PWY-5367	yes	yes	yes	no	1	2	0	1	resolved_name
TAX-282776	Corydalis saxicola	282776	yes	1	MONOMER-16686	no	0		1	G-14542	1	PWY-3901	yes	yes	yes	no	1	1	0	1	resolved_name
ORG-5893	Corydalis vaginans	3463	yes	1	MONOMER-12343	no	0		0		2	PWY-5287; PWY-7507	yes	no	yes	no	0	3	0	3	resolved_name
TAX-72610	Crepis alpina	72610	yes	1	MONOMER-14155	no	0		1	G-10818	1	PWY-6013	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-72611	Crepis palaestina	72611	yes	1	MONOMER-14156	no	0		1	G-10819	2	PWY-6014; PWY-6710	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-82528	Crocus sativus	82528	yes	4	CPLX-7229; MONOMER-12426; MONOMER-12717; MONOMER-12719	no	0		2	G-9557; G-9750	2	PWY-5398; PWY-6806	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-431156	Croton stellatopilosus	431156	yes	3	CPLX-7843; MONOMER-14873; MONOMER-14874	no	0		0		1	PWY-6691	yes	no	yes	no	0	1	0	1	resolved_name
TAX-107238	Croton sublyratus	107238	yes	2	MONOMER-14871; MONOMER-16157	no	0		1	G-12457	2	PWY-5120; PWY-6691	yes	yes	yes	no	6	7	0	6	resolved_name
TAX-3369	Cryptomeria japonica	3369	yes	1	MONOMER-19152	no	0		0		1	PWY-7632	yes	no	yes	no	0	1	0	1	resolved_name
TAX-3656	Cucumis melo	3656	yes	12	MONOMER-15544; MONOMER-15706; MONOMER-15708; MONOMER-15709; MONOMER-15710 (... 12 total)	no	0		8	G-11917; G-12064; G-12065; G-12066; G-12067 (... 8 total)	13	ETHYL-PWY; GALACTMETAB-PWY; PWY-3801; PWY-3821; PWY-5079 (... 13 total)	yes	yes	yes	no	25	37	0	17	resolved_name
TAX-3659	Cucumis sativus	3659	yes	14	CPLX-7065; CPLX-7066; MONOMER-11326; MONOMER-12057; MONOMER-12058 (... 14 total)	no	0		3	G-10321; G-11363; G-9338	12	PWY-2261; PWY-3821; PWY-4961; PWY-5136; PWY-5137 (... 12 total)	yes	yes	yes	no	11	39	0	15	resolved_name
TAX-3661	Cucurbita maxima	3661	yes	5	MONOMER-11681; MONOMER-11682; MONOMER-7711; MONOMER-9683; MONOMER-9709	no	0		5	G-6024; G-7362; G-7387; G-9086; G-9087	5	PWY-102; PWY-5032; PWY-5035; PWY-5036; PWY-5070	yes	yes	yes	no	22	22	0	13	resolved_name
ORG-5896	Cucurbita pepo	3663	yes	2	MONOMER-11980; MONOMER-11981	no	0		0		1	PWY-5129	yes	no	yes	no	0	4	0	3	resolved_name
TAX-3663	Cucurbita pepo	3663	yes	1	MONOMER-12617	no	0		0		1	PWY-5337	yes	no	yes	no	0	4	0	3	resolved_name
TAX-136217	Curcuma longa	136217	yes	4	MONOMER-15408; MONOMER-15409; MONOMER-15410; MONOMER-15411	no	0		4	G-11801; G-11802; G-11803; G-11810	2	PWY-6432; PWY-6438	yes	yes	yes	no	10	10	0	6	resolved_name
TAX-79837	Cymbopogon martinii	79837	yes	2	MONOMER-13800; MONOMER-13805	no	0		1	G-10530	1	PWY-5835	yes	yes	yes	no	1	2	0	1	resolved_name
TAX-101602	Dahlia variabilis	101602	yes	4	MONOMER-12015; MONOMER-12076; MONOMER-12118; MONOMER-12119	no	0		1	G-9309	7	PWY-1901; PWY-5139; PWY-5152; PWY-5161; PWY-6401 (... 7 total)	yes	yes	yes	no	3	9	0	8	resolved_name
TAX-106130	Dalbergia cochinchinensis	106130	yes	1	MONOMER-13778	no	0		1	G-10509	1	PWY-5821	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-298683	Dalbergia nigrescens	298683	yes	1	MONOMER-13779	no	0		1	G-10510	1	PWY-5825	yes	yes	yes	no	1	1	0	1	resolved_name
ORG-6210	Daphne odora	66679	yes	2	MONOMER-17430; MONOMER-17432	yes	4	CPD-14427; CPD-14428; CPD-14429; DAPHNIN	0		2	PWY-7055; PWY-7056	yes	no	yes	yes	0	2	5	3	both
TAX-4076	Datura stramonium	4076	yes	3	MONOMER-13848; MONOMER-14990; MONOMER-16824	no	0		2	G-10563; G-11437	3	PWY-46; PWY-5317; PWY-7341	yes	yes	yes	no	6	8	0	5	resolved_name
TAX-4039	Daucus carota	4039	yes	17	CPLX-14; MONOMER-11169; MONOMER-13; MONOMER-14201; MONOMER-14219 (... 17 total)	no	0		1	G-12149	17	GLYOXYLATE-BYPASS; PWY-3385; PWY-361; PWY-4922; PWY-5665 (... 17 total)	yes	yes	yes	no	6	38	0	22	resolved_name
TAX-328206	Davallia trichomanoides	328206	yes	1	MONOMER-17571	no	0		0		1	PWY-7093	yes	no	yes	no	0	1	0	1	resolved_name
TAX-85439	Delphinium grandiflorum	85439	yes	4	MONOMER-17864; MONOMER-18549; MONOMER-18555; MONOMER-18556	no	0		4	G-15507; G-18022; G-18028; G-18029	5	PWY-7256; PWY-7259; PWY-7260; PWY-7458; PWY-7464	yes	yes	yes	no	10	10	0	5	resolved_name
TAX-225101	Desmodium uncinatum	225101	yes	1	MONOMER-14185	no	0		1	G-10834	2	PWY-6029; PWY-641	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-3570	Dianthus caryophyllus	3570	yes	11	MONOMER-12483; MONOMER-12484; MONOMER-15060; MONOMER-15061; MONOMER-15062 (... 11 total)	no	0		8	G-11501; G-11502; G-11503; G-11504; G-11505 (... 8 total)	12	ETHYL-PWY; PWY-2083; PWY-5119; PWY-5339; PWY-6323 (... 12 total)	yes	yes	yes	no	12	21	0	13	resolved_name
TAX-49450	Digitalis lanata	49450	yes	9	MONOMER-14261; MONOMER-14269; MONOMER-14270; MONOMER-14271; MONOMER-14295 (... 9 total)	no	0		4	G-10892; G-10899; G-10900; G-10901	2	PWY-6032; PWY-6036	yes	yes	yes	no	4	9	0	5	resolved_name
TAX-4164	Digitalis purpurea	4164	yes	1	MONOMER-14313	no	0		0		1	PWY-6036	yes	no	yes	no	0	1	0	1	resolved_name
TAX-149691	Dimorphandra mollis	149691	yes	1	MONOMER-17742	no	0		0		7	PWY-5321; PWY-5390; PWY-6360; PWY-7129; PWY-7137 (... 7 total)	yes	no	yes	no	0	9	0	9	resolved_name
TAX-112408	Dimorphotheca sinuata	112408	yes	2	MONOMER-12589; MONOMER-12590	no	0		2	G-9662; G-9663	1	PWY-5368	yes	yes	yes	no	2	2	0	1	resolved_name
TAX-35925	Diospyros kaki	35925	yes	1	MONOMER-18498	no	0		0		1	PWY-7449	yes	no	yes	no	0	1	0	1	resolved_name
TAX-97234	Dryopteris crassirhizoma	97234	yes	1	MONOMER-14418	no	0		1	G-11004	1	PWY-6095	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-3258	Equisetum arvense	3258	yes	5	MONOMER-11694; MONOMER-16518; MONOMER-16523; MONOMER-16535; MONOMER-16536	no	0		2	G-12792; G-12793	12	PWY-2083; PWY-3101; PWY-5060; PWY-5135; PWY-5390 (... 12 total)	yes	yes	yes	no	8	19	0	15	resolved_name
TAX-32224	Eriobotrya japonica	32224	yes	1	MONOMER4FS-49	no	0		1	G4FS-39	2	PWY-361; PWY-6027	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-3467	Eschscholzia californica	3467	yes	13	MONOMER-12338; MONOMER-12340; MONOMER-12341; MONOMER-12342; MONOMER-12344 (... 13 total)	no	0		9	BBE; G-10560; G-10561; G-15449; G-15450 (... 9 total)	9	PWY-3581; PWY-3901; PWY-5287; PWY-5470; PWY-6337 (... 9 total)	yes	yes	yes	no	26	30	0	9	resolved_name
TAX-4307	Euonymus alatus	4307	yes	2	MONOMER-17839; MONOMER-17840	no	0		0		1	PWY-7166	yes	no	yes	no	0	2	0	1	resolved_name
TAX-54672	Euphorbia lagascae	54672	yes	3	MONOMER-15848; MONOMER-15849; MONOMER-15850	no	0		1	G-12175	3	PWY-6014; PWY-6710; PWY-7634	yes	yes	yes	no	1	4	0	4	resolved_name
TAX-52518	Eustoma grandiflorum	52518	yes	1	MONOMER-12075	no	0		1	G-9313	0		yes	yes	yes	no	2	2	0	2	resolved_name
TAX-3617	Fagopyrum esculentum	3617	yes	6	MONOMER-12680; MONOMER-12682; MONOMER-17741; MONOMER-17749; MONOMER-17751 (... 6 total)	no	0		3	G-55132; G-9730; G-9731	17	PWY-5321; PWY-5337; PWY-5379; PWY-5380; PWY-5390 (... 17 total)	yes	yes	yes	no	14	25	0	20	resolved_name
TAX-62330	Fagopyrum tataricum	62330	yes	5	MONOMER-17739; MONOMER-17744; MONOMER-17746; MONOMER-17747; MONOMER-17748	no	0		1	G-15425	4	PWY-3101; PWY-5390; PWY-6787; PWY-7134	yes	yes	yes	no	4	8	0	5	resolved_name
TAX-4224	Flaveria bidentis	4224	yes	2	MONOMER-14676; MONOMER-14704	no	0		0		1	PWY-6199	yes	no	yes	no	0	4	0	2	resolved_name
TAX-4228	Flaveria chlorifolia	4228	yes	4	MONOMER-14678; MONOMER-14702; MONOMER-14703; MONOMER-14711	no	0		0		1	PWY-6199	yes	no	yes	no	0	8	0	2	resolved_name
TAX-48038	Foeniculum vulgare	48038	yes	4	MONOMER-13876; MONOMER-15442; MONOMER-15444; MONOMER-15468	no	0		0		5	PWY-5867; PWY-5882; PWY-6437; PWY-6445; PWY-6449	yes	no	yes	no	0	10	0	5	resolved_name
TAX-205692	Forsythia koreana	205692	yes	1	MONOMER-19148	no	0		1	G-43875	1	PWY-7631	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-55183	Forsythia x intermedia	55183	yes	6	CPLX-7298; CPLX-7300; CPLX-7303; MONOMER-12932; MONOMER-12934 (... 6 total)	no	0		3	G-9895; G-9897; G-9899	3	PWY-5466; PWY-5469; PWY-6824	yes	no	yes	no	0	4	0	2	resolved_name
TAX-3746	Fragaria	3746	yes	1	MONOMER-17433	yes	1	CPD-14434	1	G-15204	2	PWY-7055; PWY-7058	yes	yes	yes	yes	2	2	1	2	both
TAX-3747	Fragaria x ananassa	3747	yes	14	CPLX-9249; FXAC_10G03810.T1; FXAC_10G03870.T1; FXAC_10G03910.T1; FXAC_11G13021.T1 (... 14 total)	no	0		3	G-10748; G-10749; G-10750	8	PWY-1121; PWY-2181; PWY-5032; PWY-5868; PWY-5968 (... 8 total)	yes	yes	yes	no	5	16	0	14	resolved_name
TAX-867926	Freesia hybrid cultivar	867926	yes	1	MONOMER-18011	no	0		1	G-16001	3	PWY-5313; PWY-7262; PWY-7450	yes	yes	yes	no	3	3	0	3	resolved_name
TAX-254777	Galium mollugo	254777	yes	3	MONOMER-11669; MONOMER-11678; MONOMER-13721	no	0		0		2	PWY-5791; PWY-5837	yes	no	yes	no	0	7	0	3	resolved_name
TAX-50768	Gentiana straminea	50768	yes	1	MONOMER-17474	no	0		1	G-15229	7	PWY-5203; PWY-5672; PWY-6109; PWY-6115; PWY-7066 (... 7 total)	yes	yes	yes	no	8	8	0	8	resolved_name
TAX-55190	Gentiana triflora	55190	yes	4	MONOMER-12014; MONOMER-12085; MONOMER-12427; MONOMER-18003	no	0		4	G-15992; G-9308; G-9355; G-9558	2	PWY-5153; PWY-5307	yes	yes	yes	no	7	7	0	3	resolved_name
TAX-18101	Gerbera hybrid cultivar	18101	yes	1	MONOMER-11863	no	0		1	G-9216	4	PWY-2083; PWY-5060; PWY-7325; PWY-7995	yes	yes	yes	no	6	6	0	6	resolved_name
TAX-3311	Ginkgo biloba	3311	yes	8	MONOMER-11954; MONOMER-12553; MONOMER-18256; MONOMER-18257; MONOMER-18258 (... 8 total)	no	0		8	G-17761; G-17762; G-17763; G-17786; G-17806 (... 8 total)	12	PWY-3101; PWY-361; PWY-5123; PWY-5390; PWY-6027 (... 12 total)	yes	yes	yes	no	23	23	0	18	resolved_name
TAX-76714	Glandularia x hybrida	76714	yes	1	MONOMER-12012	no	0		1	G-9306	5	PWY-5139; PWY-5268; PWY-5284; PWY-5313; PWY-7262	yes	yes	yes	no	6	6	0	6	resolved_name
TAX-99038	Glebionis coronaria	99038	no	0		yes	1	CPD-14342	0		0		yes	no	no	yes	0	0	1	1	raw_id
TAX-118509	Glebionis segetum	118509	yes	2	MONOMER-18650; MONOMER-18652	no	0		0		4	PWY-5321; PWY-7129; PWY-7157; PWY-7495	yes	no	yes	no	0	8	0	7	resolved_name
TAX-3847	Glycine max	3847	yes	174	CPLX-1102; CPLX-1105; CPLX-1106; CPLX-1107; CPLX-1122 (... 174 total)	no	0		126	G-10283; G-10284; G-11067; G-11220; G-11281 (... 126 total)	127	CHLOROPHYLL-SYN; ETOH-ACETYLCOA-ANA-PWY; GALACTMETAB-PWY; GLUCONEO-PWY; GLYCOLYSIS (... 127 total)	yes	yes	yes	no	491	587	0	142	resolved_name
TAX-3848	Glycine soja	3848	yes	2	MONOMER-16864; MONOMER-16865	no	0		2	G-14688; G-14689	0		yes	yes	yes	no	4	4	0	2	resolved_name
TAX-46348	Glycyrrhiza echinata	46348	yes	14	MONOMER-11863; MONOMER-12564; MONOMER-15064; MONOMER-15065; MONOMER-4681 (... 14 total)	no	0		4	G-3789; G-5703; G-9216; G-9647	11	PWY-2002; PWY-2055; PWY-2083; PWY-2321; PWY-5060 (... 11 total)	yes	yes	yes	no	16	38	0	15	resolved_name
TAX-49827	Glycyrrhiza glabra	49827	yes	7	MONOMER-12194; MONOMER-5148; MONOMER-5149; MONOMER-7402; MONOMER-7441 (... 7 total)	no	0		6	G-5662; G-5682; G-5701; G-5703; G-5741 (... 6 total)	16	PWY-2002; PWY-2083; PWY-2321; PWY-2463; PWY-2464 (... 16 total)	yes	yes	yes	no	26	28	0	21	resolved_name
TAX-74613	Glycyrrhiza uralensis	74613	yes	2	MONOMER-16879; MONOMER-17470	no	0		2	G-14703; G-15226	1	PWY-7066	yes	yes	yes	no	2	2	0	1	resolved_name
TAX-29729	Gossypium arboreum	29729	yes	4	MONOMER-11987; MONOMER-13696; MONOMER-13697; MONOMER-13698	no	0		4	G-10456; G-10457; G-10458; G-9291	3	PWY-5129; PWY-5773; PWY-5828	yes	yes	yes	no	6	6	0	3	resolved_name
TAX-3634	Gossypium barbadense	3634	yes	2	CPLX-7570; MONOMER-13699	no	0		1	G-10459	1	PWY-5773	yes	no	yes	no	0	1	0	1	resolved_name
TAX-3635	Gossypium hirsutum	3635	yes	1	MONOMER-12626	no	0		0		3	PWY-5316; PWY-7342; PYRIDNUCSYN-PWY	yes	no	yes	no	0	3	0	3	resolved_name
TAX-39387	Gypsophila vaccaria	39387	yes	1	MONOMER-13655	no	0		1	G-10409	1	PWY-5759	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-44745	Haematococcus lacustris	44745	yes	1	MONOMER-19182	no	0		1	G-43902	3	PWY-5288; PWY-5944; PWY-7636	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-4233	Helianthus tuberosus	4233	yes	6	CPLX-1922; CPLX-1923; MONOMER-11773; MONOMER-15522; MONOMER-2181 (... 6 total)	no	0		2	G-1541; G-1542	4	PWY-6465; PWY-6468; PWY-6618; PWY-822	yes	no	yes	no	0	7	0	6	resolved_name
TAX-3981	Hevea brasiliensis	3981	yes	8	CPLX-8534; MONOMER-11666; MONOMER-12858; MONOMER-13765; MONOMER-17564 (... 8 total)	no	0		3	G-15290; G-9077; G-9856	20	GLUCONEO-PWY; GLYCOLYSIS; PWY-1042; PWY-3121; PWY-5120 (... 20 total)	yes	yes	yes	no	23	36	0	29	resolved_name
TAX-4513	Hordeum vulgare	4513	yes	40	CPLX-1925; CPLX-1943; CPLX-1965; CPLX-4762; CPLX-6984 (... 40 total)	no	0		23	G-10642; G-10647; G-10649; G-10654; G-10665 (... 23 total)	31	ARG-PRO-PWY; CHOLINE-BETAINE-ANA-PWY; PWY-3341; PWY-3801; PWY-4101 (... 31 total)	yes	yes	yes	no	23	56	0	38	resolved_name
TAX-3486	Humulus lupulus	3486	yes	9	CPLX-7046; MONOMER-11999; MONOMER-12000; MONOMER-12001; MONOMER-12004 (... 9 total)	no	0		7	G-55015; G-55016; G-55018; G-9298; G-9303 (... 7 total)	11	PWY-5132; PWY-5133; PWY-5135; PWY-5808; PWY-6316 (... 11 total)	yes	yes	yes	no	31	36	0	17	resolved_name
TAX-23110	Hydrangea macrophylla	23110	yes	1	MONOMER-11632	no	0		1	G-9048	1	PWY-84	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-310458	Hyoscyamus albus	310458	yes	1	MONOMER-12434	no	0		1	G-9559	1	PWY-5315	yes	yes	yes	no	3	3	0	3	resolved_name
TAX-35626	Hyoscyamus muticus	35626	yes	2	MONOMER-16034; VS1-MONOMER	no	0		2	G-12337; VS1	1	PWY-2961	yes	yes	yes	no	2	2	0	1	resolved_name
TAX-4079	Hyoscyamus niger	4079	yes	8	CPLX-7161; CPLX-7162; CPLX-7163; MONOMER-12443; MONOMER-12444 (... 8 total)	no	0		2	G-10382; G-9566	4	PWY-5315; PWY-5317; PWY-5318; PWY-7341	yes	yes	yes	no	4	9	0	4	resolved_name
TAX-140968	Hypericum androsaemum	140968	yes	8	CPLX-6741; MONOMER-11387; MONOMER-11389; MONOMER-11397; MONOMER-11398 (... 8 total)	no	0		1	G-8865	6	PWY-5001; PWY-6443; PWY-6446; PWY-6457; PWY-6458 (... 6 total)	yes	no	yes	no	0	15	0	7	resolved_name
TAX-55963	Hypericum calycinum	55963	yes	2	MONOMER-13762; MONOMER-17857	yes	1	CPD-14997	1	G-15504	19	PWY-361; PWY-5048; PWY-5132; PWY-5133; PWY-5135 (... 19 total)	yes	yes	yes	yes	20	24	1	24	both
TAX-65561	Hypericum perforatum	65561	yes	3	MONOMER-13710; MONOMER-13763; MONOMER-15014	no	0		2	G-10470; G-11458	4	PWY-5132; PWY-5133; PWY-5780; PWY-5808	yes	yes	yes	no	4	8	0	8	resolved_name
TAX-108394	Hyssopus	108394	no	0		yes	1	CPD-15477	0		0		yes	no	no	yes	0	0	2	2	raw_id
TAX-63779	Impatiens balsamina	63779	yes	1	MONOMER-12616	no	0		1	G-9685	1	PWY-5375	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-4120	Ipomoea batatas	4120	yes	6	CPLX-8128; MONOMER-14070; MONOMER-15153; MONOMER-15154; MONOMER-15814 (... 6 total)	no	0		3	G-11592; G-11593; G-17797	8	PWY-5349; PWY-5968; PWY-6348; PWY-6575; PWY-6577 (... 8 total)	yes	yes	yes	no	6	9	0	8	resolved_name
TAX-35883	Ipomoea nil	35883	yes	1	MONOMER-12332	no	0		1	G-9519	4	PWY-5286; PWY-5310; PWY-5312; PWY-5313	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-4121	Ipomoea purpurea	4121	yes	1	MONOMER-12333	no	0		1	G-9520	4	PWY-5286; PWY-5310; PWY-5312; PWY-5313	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-51240	Juglans regia	51240	yes	1	MONOMER-12983	no	0		0		1	PWY-5473	yes	no	yes	no	0	1	0	1	resolved_name
TAX-23013	Kalanchoe daigremontiana	23013	yes	3	MONOMER-17973; MONOMER-17975; MONOMER-17976	no	0		3	G-15967; G-15969; G-15970	7	PWY-5203; PWY-5672; PWY-6109; PWY-6115; PWY-7066 (... 7 total)	yes	yes	yes	no	27	27	0	10	resolved_name
TAX-61147	Kandelia candel	61147	yes	2	MONOMER-14445; MONOMER-14450	no	0		2	G-11021; G-11026	11	PWY-112; PWY-5203; PWY-5377; PWY-5672; PWY-6109 (... 11 total)	yes	yes	yes	no	15	15	0	13	resolved_name
TAX-4236	Lactuca sativa	4236	yes	1	MONOMER-15751	no	0		1	G-12098	2	PWY-5745; PWY-6540	yes	yes	yes	no	13	13	0	8	resolved_name
TAX-188838	Lampranthus sociorum	188838	yes	1	MONOMER-18008	no	0		0		1	PWY-7265	yes	no	yes	no	0	1	0	1	resolved_name
TAX-3862	Lathyrus tingitanus	3862	yes	1	MONOMER-15	no	0		0		1	PWY-1	yes	no	yes	no	0	1	0	1	resolved_name
TAX-39169	Lavandula	39169	no	0		yes	1	CPD-15477	0		0		yes	no	no	yes	0	0	2	2	raw_id
TAX-39329	Lavandula angustifolia	39329	yes	2	MONOMER-13458; MONOMER-14818	no	0		2	G-10246; G-11317	4	PWY-6243; PWY-6836; PWY-7182; PWY-7709	yes	yes	yes	no	5	5	0	5	resolved_name
TAX-3864	Lens culinaris	3864	yes	1	MONOMER-12481	no	0		0		2	PWY-5337; PWY-5338	yes	no	yes	no	0	2	0	2	resolved_name
TAX-33125	Lepidium sativum	33125	yes	1	MONOMER-16131	no	0		1	G-12435	1	PWY-6684	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-3866	Leucaena leucocephala	3866	yes	2	CPLX-6721; MONOMER-11365	no	0		0		1	PWY-4985	yes	no	yes	no	0	1	0	1	resolved_name
TAX-4690	Lilium longiflorum	4690	yes	3	CPLX-6361; MONOMER-10861; MONOMER-11167	no	0		0		3	PWY-2301; PWY-4661; PWY-4841	yes	no	yes	no	0	3	0	3	resolved_name
TAX-42439	Limnanthes alba	42439	yes	2	MONOMER-12555; MONOMER-12558	no	0		2	G-9642; G-9643	2	PWY-5080; PWY-5361	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-28973	Limnanthes douglasii	28973	yes	2	MONOMER-12148; MONOMER-12149	no	0		2	G-9398; LAT1	3	PWY-5667; PWYIO2-7; TRIGLSYN-PWY	yes	yes	yes	no	10	10	0	5	resolved_name
TAX-407263	Linum flavum	407263	yes	4	CPLX-8979; MONOMER-13010; MONOMER-18642; MONOMER-19215	no	0		1	G-43932	3	PWY-5479; PWY-7491; PWY-7643	yes	no	yes	no	0	3	0	3	resolved_name
TAX-407264	Linum nodiflorum	407264	yes	4	CPLX-8978; MONOMER-13011; MONOMER-18641; MONOMER-19214	no	0		1	G-43931	3	PWY-5479; PWY-7491; PWY-7643	yes	no	yes	no	0	3	0	3	resolved_name
TAX-35941	Linum perenne	35941	yes	2	MONOMER-16661; MONOMER-16668	no	0		2	G-14518; G-14525	3	PWY-5466; PWY-6820; PWY-6824	yes	yes	yes	no	3	3	0	3	resolved_name
TAX-4006	Linum usitatissimum	4006	yes	11	CPLX-8152; CPLX-8535; CPLX-8536; MONOMER-15903; MONOMER-17567 (... 11 total)	no	0		3	G-12224; G-18091; G4FS-24	15	PWY-1121; PWY-3022; PWY-3121; PWY-361; PWY-5710 (... 15 total)	yes	yes	yes	no	9	18	0	16	resolved_name
TAX-4400	Liquidambar styraciflua	4400	yes	1	MONOMER4FS-43	no	0		1	G4FS-32	2	PWY-361; PWY-5168	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-34254	Lithospermum erythrorhizon	34254	yes	6	MONOMER-11772; MONOMER-13508; MONOMER-13509; MONOMER-13510; MONOMER-13687 (... 6 total)	no	0		4	G-10286; G-10287; G-10448; G-9142	16	PWY-361; PWY-5048; PWY-5135; PWY-5701; PWY-5868 (... 16 total)	yes	yes	yes	no	20	37	0	17	resolved_name
TAX-4521	Lolium multiflorum	4521	no	0		yes	1	CPD-15481	0		0		yes	no	no	yes	0	0	1	1	raw_id
TAX-4522	Lolium perenne	4522	yes	2	MONOMER4FS-38; MONOMER4FS-39	no	0		2	G4FS-27; G4FS-28	2	PWY-361; PWY-5168	yes	yes	yes	no	3	3	0	2	resolved_name
TAX-47247	Lotus corniculatus	47247	yes	3	MONOMER-14180; MONOMER-14199; MONOMER-18651	no	0		2	G-10832; G-10846	5	PWY-6029; PWY-6035; PWY-641; PWY-7495; PWY-7498	yes	yes	yes	no	3	6	0	6	resolved_name
TAX-34305	Lotus japonicus	34305	yes	117	CPLX-5642; LJ1G0001290.1; LJ1G0001393.1; LJ1G0003544.1; LJ1G0005780.1 (... 117 total)	no	0		116	G-10324; G-10325; G-10802; G-10803; G-12589 (... 116 total)	45	GLUTATHIONESYN-PWY; PANTO-PWY; PWY-116; PWY-2002; PWY-2321 (... 45 total)	yes	yes	yes	no	463	463	0	56	resolved_name
TAX-3870	Lupinus albus	3870	yes	2	MONOMER-10741; MONOMER-13855	no	0		1	G-10569	3	PWY-4502; PWY-4681; PWY-5468	yes	yes	yes	no	1	4	0	4	resolved_name
TAX-3871	Lupinus angustifolius	3871	yes	1	MONOMER-7421	no	0		0		4	GLUGLNSYN-PWY; PWY-6963; PWY4LZ-283; PWY4LZ-81	yes	no	yes	no	0	5	0	5	resolved_name
TAX-3873	Lupinus luteus	3873	yes	11	CPLX-6141; CPLX-6976; MONOMER-10442; MONOMER-10461; MONOMER-10902 (... 11 total)	no	0		0		11	METHIONINE-DEG1-PWY; PWY-4702; PWY-4781; PWY-5041; PWY-5967 (... 11 total)	yes	no	yes	no	0	26	0	16	resolved_name
TAX-3874	Lupinus polyphyllus	3874	yes	3	MONOMER-12938; MONOMER-12939; MONOMER-12941	no	0		0		2	PWY-5468; PWY0-461	yes	no	yes	no	0	4	0	2	resolved_name
ORG-5911	Lupinus termis	3869	yes	1	MONOMER-12940	no	0		0		1	PWY-5468	yes	no	yes	no	0	1	0	1	resolved_name
TAX-283673	Lycopersicon hirsutum	283673	yes	1	MONOMER-15857	no	0		1	G-12180	2	PWY-6585; PWY-7007	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-3406	Magnolia grandiflora	3406	yes	2	MONOMER-14947; MONOMER-14948	no	0		2	G-11397; G-11398	2	PWY-3041; PWY-6290	yes	yes	yes	no	2	2	0	2	resolved_name
ORG-6292	Malus domestica	3750	yes	1	MONOMER-19614	no	0		1	G-44316	1	PWY-7739	yes	yes	yes	no	12	15	0	11	resolved_name
ORG-6293	Malus domestica	3750	yes	1	MONOMER-19615	no	0		1	G-44317	1	PWY-7739	yes	yes	yes	no	12	15	0	11	resolved_name
TAX-3750	Malus domestica	3750	yes	12	CPLX-6946; CPLX-6951; MONOMER-11698; MONOMER-11700; MONOMER-11709 (... 12 total)	no	0		7	G-10310; G-10317; G-12045; G-15457; G-15458 (... 7 total)	8	PWY-3101; PWY-4101; PWY-5054; PWY-5725; PWY-6515 (... 8 total)	yes	yes	yes	no	12	15	0	11	resolved_name
TAX-283210	Malus pumila	283210	yes	2	MONOMER-15672; MONOMER-15673	no	0		1	G-12041	2	PWY-6515; PWY-7897	yes	yes	yes	no	1	3	0	2	resolved_name
ORG-5912	Manihot esculenta	3983	yes	2	CPLX-4482; MONOMER-6903	no	0		0		2	PWY-3121; PWY-7091	yes	yes	yes	no	11	15	0	5	resolved_name
