genus	species	short_name	symbol	ncbi
Brassica	oleracea	Brassica oleracea	Bro	3715
Brassica	rapa	Brassica rapa	Br	51351
Brassica 	napus 	Rapeseed 	Bn	3708
Brassicaceae		Brassicaceae		3700
Brassicales		Brassicales		3699
Bromus	inermis	Bromus inermis	Bi	15371
Bruguiera	gymnorhiza	Bruguiera gymnorhiza	Bg	39984
Bryophyta		Bryophyta		3208
Bryopsida		Bryopsida		3214
Caenorhabditis	elegans	Celegans	Ce	6239
Caenorhabditis	elegans	Caenorhabditis elegans	Cae	6239
Calendula	officinalis	Calendula officinalis	Co	41496
Camellia		Camellia		4441
Camellia	irrawadiensis	Camellia irrawadiensis	Cai	153142
Camellia	ptilophylla	Camellia ptilophylla	Cp	319931
Camellia	sinensis	Camellia sinensis	Cas	542762
Camellia	taliensis	Camellia taliensis	Cat	4441
Camptotheca		Camptotheca		16921
Camptotheca	acuminata	Camptotheca acuminata	Caa	16922
Canavalia	ensiformis	Canavalia ensiformis	Ce2	3823
Canavalia	lineata	Canavalia lineata	Cl	28957
Canis	familiaris	Dog	Cf	9615
Cannabaceae		Cannabaceae		3481
Cannabis		Cannabis		3482
Cannabis	sativa	Cannabis sativa	Cs2	3483
Capsicum		Capsicum		4071
Capsicum	annuum	Capsicum annuum	Ca2	4072
Capsicum	baccatum	Capsicum baccatum	Cb	33114
Capsicum	chinense	Capsicum chinense	Cc	80379
Capsicum	frutescens	Capsicum frutescens	Caf	4073
Carapichea	ipecacuanha	Carapichea ipecacuanha	Ci2	77880
Carica	papaya	Carica papaya	Cap	3649
Carpobrotus	acinaciformis	Carpobrotus acinaciformis	Ca3	141999
Carthamus	tinctorius	Carthamus tinctorius	Ct2	4222
Carum	carvi	Carum carvi	Cac	48032
Caryophyllaceae		Caryophyllaceae		3568
Caryophyllales		Caryophyllales		3524
Cassia	coluteoides	Cassia coluteoides	Cc2	53851
Catharanthus	roseus	Catharanthus roseus	Cr	4058
Caulobacter	vibrioides		Cv	155892
cellular	organisms	cellular organisms	Ceo	131567
Celosia	cristata	Celosia cristata	Cec	124768
Centaurium	erythraea	Centaurium erythraea	Cee	172057
Cephalocereus	senilis	Cephalocereus senilis	Ces	223054
Cerastium	arvense	Cerastium arvense	Cea	271558
Ceratodon	purpureus	Ceratodon purpureus	Cep	3225
Cereibacter	sphaeroides	Cereibacter sphaeroides	Cs3	349101
Cestrum	elegans	Cestrum elegans	Ce3	103475
Chelidonium	majus	Chelidonium majus	Cm	71251
Chlamydia	trachomatis	Chlamydia trachomatis	Cht	813
Chlamydiae/Verrucomicrobia	group	Chlamydiae/Verrucomicrobia group	Cg	51290
Chlamydomonadales		Chlamydomonadales		3042
Chlamydomonas	reinhardtii	Chlamydomonas reinhardtii	Chr	3055
Chlorella	sp.	Chlorella sp. (Roon 68)	Chs	3071
Chlorophyta		Chlorophyta		3041
Chrysanthemum		Chrysanthemum		13422
Chrysanthemum	x	Chrysanthemum x morifolium	Cx	41568
Chrysosplenium	americanum	Chrysosplenium americanum	Cha	36749
Cicer	arietinum	Cicer arietinum	Cia	3827
Cichorium	intybus	Cichorium intybus	Cii	13427
Cinchona		Cinchona		43462
Cinchona	calisaya	Cinchona calisaya	Cic	153742
Cinchona	macrocalyx	Cinchona macrocalyx	Cim	273779
Cinchona	mutisii	Cinchona mutisii	Cm2	273780
Cinchona	officinalis	Cinchona officinalis	Cio	273781
Cinchona	pitayensis	Cinchona pitayensis	Cip	128294
Cinchona	pubescens	Cinchona pubescens	Cp2	50278
Cinnamomum	tenuipile	Cinnamomum tenuipile	Cit	192326
Ciona	intestinalis	Sea Squirt	Ci	7719
Cistus		Cistus		69451
Cistus	creticus	Cistus creticus	Cc3	191224
Citrullus	lanatus	Citrullus lanatus	Cil	3654
Citrus		Citrus		2706
Citrus	hanaju	Citrus hanaju	Ch	481547
Citrus	japonica	Citrus japonica	Cj	76966
Citrus	junos	Citrus junos	Cij	135197
Citrus	maxima	Citrus maxima	Cm3	37334
Citrus	sinensis	Sweet orange	Cs	2711
Citrus	sinensis	Citrus sinensis	Cis	2711
Citrus	trifoliata	Citrus trifoliata	Ct3	37690
Citrus	unshiu	Citrus unshiu	Cu	55188
Citrus	x	Citrus x aurantium	Cix	43166
Citrus	x	Citrus x clementina	Cx2	85681
Citrus	x	Citrus x microcarpa	Cx3	164113
Citrus	x	Citrus x paradisi	Cx4	37656
Cladonia		Cladonia		5199
Clarkia	breweri	Clarkia breweri	Clb	36903
Cleretum	bellidiforme	Cleretum bellidiforme	Cb2	90527
Clitoria	ternatea	Clitoria ternatea	Clt	43366
Clostridium	acetobutylicum	Clostridium acetobutylicum	Cla	272562
Clostridium	botulinum	Clostridium botulinum	Cb3	1491
Clostridium	kluyveri	Clostridium kluyveri	Ck	1534
Clostridium	thermocellum	Cthe	Ct	1515
Coffea		Coffea		13442
Coffea	abeokutae	Coffea abeokutae	Coa	213304
Coffea	arabica	Coffee	Ca	13443
Coffea	arabica	Coffea arabica	Ca4	13443
Coffea	canephora	Coffea canephora	Coc	49390
Coffea	eugenioides	Coffea eugenioides	Coe	49369
Coffea	liberica	Coffea liberica	Col	49373
Coix	lacryma-jobi	Coix lacryma-jobi	Cl2	4505
Colchicum	autumnale	Colchicum autumnale	Ca5	45005
Coleus	scutellarioides	Coleus scutellarioides	Cos	4142
commelinids		commelinids		4734
Coniferophyta		Coniferophyta		3312
Conium	maculatum	Conium maculatum	Com	13447
Consolida	orientalis	Consolida orientalis	Coo	565971
Coptis	chinensis	Coptis chinensis	Cc4	261450
Coptis	japonica	Coptis japonica	Coj	397412
Coptis	teeta	Coptis teeta	Cot	261448
Corallococcus	coralloides	Corallococcus coralloides	Cc5	184914
Coreopsis	grandiflora	Coreopsis grandiflora	Cog	13449
Coriandrum	sativum	Coriandrum sativum	Cs4	4047
Corydalis	cava	Corydalis cava	Cc6	3463
Corydalis	vaginans	Corydalis vaginans	Cov	3463
Crambe	hispanica	Crambe hispanica	Crh	70124
Crepis	alpina	Crepis alpina	Cra	72610
Crepis	palaestina	Crepis palaestina	Crp	72611
Crocus	sativus	Crocus sativus	Crs	82528
Croton		Croton		100370
Croton	stellatopilosus	Croton stellatopilosus	Cs5	431156
Croton	sublyratus	Croton sublyratus	Cs6	107238
Cryptomeria	japonica	Cryptomeria japonica	Crj	3369
Cucumis	melo	Cucumis melo	Cum	3656
Cucumis	sativus	Cucumis sativus	Cus	3659
Cucurbita	maxima	Cucurbita maxima	Cm4	3661
Cucurbita	pepo	Cucurbita pepo	Cup	3663
Cucurbita	pepo	Cucurbita pepo medullosa	Cp3	3663
Cucurbitales		Cucurbitales		71239
Cupressus		Cupressus		13468
Curcuma		Curcuma		99568
Curcuma	longa	Curcuma longa	Cul	136217
Cyanidioschyzon	merolae	Cyanidioschyzon merolae	Cym	45157
Cyanobacteriota		Cyanobacteriota		1117
Cymbopogon	martinii	Cymbopogon martinii	Cm5	79837
Cyperus		Cyperus		4610
Cyperus	iria	Cyperus iria	Cyi	388567
Cystobacter	fuscus	Cystobacter fuscus	Cyf	43
Cytophaga	hutchinsonii	Cytophaga hutchinsonii	Cyh	985
Dahlia	pinnata	Dahlia pinnata	Dap	101596
Dahlia	variabilis	Dahlia variabilis	Dv	101602
Dalbergia	cochinchinensis	Dalbergia cochinchinensis	Dc	106130
Dalbergia	nigrescens	Dalbergia nigrescens	Dan	298683
Danio	rerio	Zebrafish	Dr	7955
Danio	rerio	Danio rerio	Dar	7955
Daphne	odora	Daphne odora	Do	66679
Daphnia	magna		Da	35525
Daphnia	pulex		Dp	6669
Dasypus	novemcinctus	Armadillo	Dn	9361
Datura	inoxia	Datura inoxia	Di	4075
Datura	stramonium	Datura stramonium	Ds	4076
Daucus	carota	Daucus carota	Dac	4039
Davallia	trichomanoides	Davallia trichomanoides	Dt	328206
Delftia	acidovorans	Delftia acidovorans	Dea	80866
Delphinium	grandiflorum	Delphinium grandiflorum	Dg	85439
Derris	elliptica	Derris elliptica	De	56063
Desmodium	uncinatum	Desmodium uncinatum	Du	225101
Dianthus		Dianthus		3569
Dianthus	caryophyllus	Dianthus caryophyllus	Dic	3570
Dicranum	scoparium	Dicranum scoparium	Dis	3222
Dictyoptera	<insects>	Dictyoptera <insects>	D<	6970
Dictyostelium	discoideum	Dictyostelium discoideum	Dd	44689
Digitalis		Digitalis		4163
Digitalis	lanata	Digitalis lanata	Dl	49450
Digitalis	purpurea	Digitalis purpurea	Dip	4164
Dimorphotheca	sinuata	Dimorphotheca sinuata	Ds2	112408
Diospyros	kaki	Diospyros kaki	Dk	35925
Diptera		Diptera		7147
Dolichandra	unguis-cati	Dolichandra unguis-cati	Dou	73871
Drosophila	melanogaster	Fruitfly	Dm	7227
Dryopteris	crassirhizoma	Dryopteris crassirhizoma	Drc	97234
Echinops	telfairi	Hedgehog	Et	9371
Embryophyta		Embryophyta		3193
Enterococcus	faecalis	Enterococcus faecalis	Ef	1351
Ephedra		Ephedra		3387
Ephedra	gerardiana	Ephedra gerardiana	Eg	42328
Equisetum		Equisetum		3257
Equisetum	arvense	Equisetum arvense	Ea	3258
Equus	caballus	Horse	Qc	9796
Erwinia	amylovora	Erwinia amylovora	Era	552
Erythroxylaceae		Erythroxylaceae		22118
Erythroxylum	coca	Erythroxylum coca	Erc	289672
Escherichia	coli	Ecoli	Ec	562
Escherichia	coli	Escherichia coli	Esc	83333
Eschscholzia	californica	Eschscholzia californica	Ec2	3467
Eucalyptus	piperita	Eucalyptus piperita	Ep	87677
eudicotyledons		eudicotyledons		71240
Euglena	gracilis	Euglena gracilis	Eug	3039
Euglenida		Euglenida		3035
Euglenozoa		Euglenozoa		33682
Eukaryota		Eukaryota		2759
Euonymus	alatus	Euonymus alatus	Eua	4307
Euphorbia	lagascae	Euphorbia lagascae	El	54672
Euphorbiaceae		Euphorbiaceae		3977
Euphyllophyta		Euphyllophyta		78536
Eustoma	grandiflorum	Eustoma grandiflorum	Eg2	52518
Evernia		Evernia		87256
Fabaceae		Fabaceae		3803
Fabales		Fabales		72025
Fagopyrum	esculentum	Fagopyrum esculentum	Fe	3617
Fagopyrum	tataricum	Fagopyrum tataricum	Ft	62330
Fagus	crenata	Fagus crenata	Fc	28929
Felis	catus	Felis catus	Fec	9685
Flaveria	bidentis	Flaveria bidentis	Fb	4224
Flaveria	chlorifolia	Flaveria chlorifolia	Flc	4228
Fluviicola	taffensis	Fluviicola taffensis	Flt	191579
Foeniculum	vulgare	Foeniculum vulgare	Fv	48038
Forsythia	koreana	Forsythia koreana	Fk	205692
Forsythia	x	Forsythia x intermedia	Fx	55183
Fragaria		Fragaria		3746
Fragaria	x	Fragaria x ananassa	Frx	3747
Fumarioideae		Fumarioideae		3462
Fungi		Fungi		4751
Fusarium	fujikuroi	Fusarium fujikuroi	Ff	5127
Galanthus	elwesii	Galanthus elwesii	Ge	82232
Galium	mollugo	Galium mollugo	Gam	254777
Gallus	gallus	Chicken	Gg	9031
Gardenia	jasminoides	Gardenia jasminoides	Gj	114476
Gemmata	obscuriglobus	Gemmata obscuriglobus	Go	114
Gemmata	sp.	Gemmata sp. Wa1-1	Gs	235140
Gentiana	straminea	Gentiana straminea	Ges	50768
Gentiana	triflora	Gentiana triflora	Gt	55190
